20240908	12:23:36	a72ed8cb-47b8-4849-956a-22adc2219750	/	GET
20240908	12:23:36	07fcbefa-2ddb-48dd-881d-9c5e6ca2f369	/css/style.css	GET
20240908	12:23:36	560a659e-03e3-4946-a5c5-a646fb858f9b	/favicon.ico	GET
20240908	12:23:37	843322a1-4a26-4cf4-85cf-1fc1505e5d9f	/	GET
20240908	12:23:37	522098d0-7d4b-462e-a5b7-4f2c58c9b5e7	/css/style.css	GET
20240908	12:24:09	4a46ec4c-0eb0-437a-86f1-633961e86ec0	/new-page.html	GET
20240908	12:24:09	864433c5-3f94-4c49-ae35-d9139278e92f	/css/style.css	GET
20240908	12:24:09	048b8c9c-48b2-4dec-9d69-5ada205006fc	/img/img1.jpg	GET
20240908	12:24:12	3a565f33-8e07-4e20-9060-aa17880d24d8	/new-page.html	GET
20240908	12:24:12	992ce77f-fc37-4a19-8b89-b8c59f94a47b	/css/style.css	GET
20240908	12:24:12	e5b68da5-b8eb-4322-b707-2362be9844c8	/img/img1.jpg	GET
20240908	12:24:13	643e4be4-30b3-4076-a1ad-07da67f0bdbb	/new-page.html	GET
20240908	12:24:13	1665a51e-6256-43ed-b6d2-6e5e588a0829	/css/style.css	GET
20240908	12:24:13	3fb665ee-9e43-4d55-aa24-55dbaf6f09ea	/img/img1.jpg	GET
20240908	12:24:13	6f24f124-8572-40bf-8aed-484ee500827f	/new-page.html	GET
20240908	12:24:13	257641b4-47bd-4b58-a095-29f24706b146	/css/style.css	GET
20240908	12:24:13	74419f86-f0c6-4e07-899e-393f91757a7b	/img/img1.jpg	GET
20240908	12:24:13	aa99fbaa-8769-4120-a307-9fee21f518da	/new-page.html	GET
20240908	12:24:13	d04695ed-5ae0-4987-ae72-47d309eeaeb4	/css/style.css	GET
20240908	12:24:13	a58ad362-5c22-4b97-958c-f3779b220a1c	/img/img1.jpg	GET
20240908	12:25:08	68af6121-d25b-40c7-9570-9fa9e1229cc0	/css/style.css	GET
20240908	12:26:02	d9ad38a2-39d5-4257-b67b-53d7d9ed9563	/new-page.html	GET
20240908	12:26:03	5d161529-2e9a-492d-8a48-ed4ebc5af3e8	/css/style.css	GET
20240908	12:26:03	3f0e9ac5-faa8-4394-9581-c544f2e4f797	/img/img1.jpg	GET
20240909	12:24:56	e541ac1a-1207-49bb-9561-a99cbb282d33	GET	undefined	/css/style.css
20240909	12:24:56	a89f7c90-a40d-4c47-947e-8700d2ac776f	GET	undefined	/
20240909	12:24:56	d27ad895-6711-4573-b068-42dee1d6d44f	GET	undefined	/css/style.css
20240909	12:24:56	3a9f17da-7378-47c1-8ea5-0c2cc1f07a37	GET	undefined	/
20240909	12:24:56	d342362e-8267-4bb1-983d-99f3fb7acff3	GET	undefined	/css/style.css
20240909	12:24:56	708263b5-491a-4279-a61b-7b72a0d845a6	GET	undefined	/
20240909	12:24:56	45928375-455e-4739-98d8-a494b9a9df2a	GET	undefined	/css/style.css
20240909	12:24:56	c3af94e5-5d57-44a5-88a6-27f40e0f9530	GET	undefined	/
20240909	12:24:56	fdfb4e77-d052-4b71-8d3e-7e77e6a87764	GET	undefined	/css/style.css
20240909	12:25:32	bb082362-7009-4f81-97dd-4c96346e31b4	GET	undefined	/
20240909	12:28:35	eb90b2d1-4657-49d8-b47d-111aa6388b93	GET	undefined	/
20240909	12:28:35	379a5a62-6a4c-4346-8f4f-8519d231932d	GET	undefined	/css/style.css
20240909	12:28:39	1ed3c37e-a675-4687-8299-8860b3ef6cc7	GET	undefined	/dave
20240909	12:28:39	08592431-7bad-44b9-a05c-c288b7424c93	GET	undefined	/css/style.css
